Netlist,LOFi1,LOFi2,PI
test_si51,0,0,0
n2787,6,24,9
g27123,3,6,17
g2081,4,8,14
g24092,4,10,7
g2082,4,8,12
g27120,3,5,25
g2080,4,8,13
test_si38,0,0,0
g996,4,8,27
g2085,4,8,12
n8079,4,8,30
test_si39,0,0,0
g2086,4,8,13
g2083,4,8,13
g2084,4,8,14
g992,4,7,15
g2089,4,8,13
g2087,4,8,14
g6442,4,8,3
g2088,4,8,12
test_si30,0,0,0
n2771,1,2,15
test_si31,0,0,0
n2770,2,2,15
test_si32,0,0,0
n2773,2,7,15
test_si33,0,0,0
n2772,2,4,17
test_si34,0,0,0
g6447,4,5,8
test_si35,0,0,0
n8076,4,8,25
test_si36,0,0,0
n8077,4,8,10
test_si37,0,0,0
n8078,4,8,17
n2779,4,8,32
n2778,6,24,9
n2775,3,7,16
n2774,2,7,13
n2777,2,10,14
n8080,4,8,25
test_si40,0,0,0
n8081,4,8,10
g999,4,8,9
g2093,4,8,14
g2090,4,4,1
g27131,3,5,5
g2091,4,8,12
g2052,4,7,20
n4500,2,8,12
g2059,4,7,20
n4507,2,4,14
n4508,2,2,12
n4505,2,8,9
n4506,4,5,10
n4503,2,8,12
n4504,2,5,13
n4501,2,5,2
n4502,2,8,10
n4509,4,5,10
n2793,3,4,30
n2792,2,2,15
n2795,2,6,29
n2794,2,5,29
n8098,4,8,3
n2791,2,10,11
n8099,4,2,1
n2790,2,6,31
n2797,2,4,10
n2796,2,4,14
n2799,2,4,15
n2798,2,4,13
DFF_1450_n1,4,7,7
g16437,4,7,8
g2033,4,6,16
n4521,1,2,24
g2039,4,8,12
n4522,1,2,4
n4520,4,5,6
n4529,1,2,13
n4527,1,2,10
n4528,1,2,24
n4525,4,5,4
n4526,1,2,30
n4523,1,2,10
g24059,4,10,18
n4524,4,5,8
g2040,4,6,16
g2046,4,6,16
n4510,2,2,8
n4511,4,5,6
n4518,4,5,2
n4519,2,4,9
n4516,4,5,6
n4517,2,4,13
n4514,4,5,8
n4515,4,5,8
n4512,4,5,8
g28425,4,10,2
n4513,1,1,15
g28420,4,10,16
g28421,4,10,12
g105,4,8,4
g1040,4,4,1
g1041,4,8,27
g101,4,8,4
g1044,4,8,28
g1045,4,8,27
g2374,4,10,4
g1048,4,8,27
n2243,3,10,9
n3575,2,2,8
n3576,2,7,5
n2245,5,17,12
n3573,2,4,9
n7930,4,8,2
n2244,2,8,13
n3574,2,2,7
n3571,3,8,13
n3572,2,7,12
n2241,3,5,1
n2240,6,24,10
n3570,3,3,13
n7938,4,4,5
n7937,4,8,13
n2247,2,3,16
n3579,2,3,14
n7936,4,8,14
n2246,6,24,10
n2249,6,24,10
n3577,6,24,5
n2248,2,7,11
n3578,3,8,9
DFF_1357_n1,4,8,5
g109,4,8,4
g1051,4,8,29
g1052,4,8,28
g2380,4,7,6
g1055,4,8,29
g1056,4,8,27
g2387,4,4,1
g1053,4,8,29
g1054,4,8,28
g1059,4,8,28
n2232,5,12,4
n3564,4,14,10
n7921,4,8,6
n2231,2,4,14
n3565,3,3,11
n7920,4,8,6
g2388,4,8,11
n2234,5,11,4
n3562,2,3,12
g2389,4,8,13
n2233,6,24,10
n3563,4,19,10
n3560,4,6,13
n3561,2,2,13
n2230,2,9,13
n7929,4,7,4
g20682,2,3,15
n2239,5,12,4
n7926,4,8,17
n2236,2,7,11
n3568,4,13,6
n7925,4,8,3
n2235,2,3,16
n3569,3,5,23
n7924,4,8,6
n2238,6,24,10
n3566,6,24,9
n7923,4,8,6
n2237,2,2,15
n3567,6,24,9
n7922,4,8,6
g2390,4,8,9
n3590,4,8,13
g125,4,8,3
DFF_1496_n1,4,8,6
g121,4,8,4
g2351,4,5,6
g2357,4,8,4
n2265,5,12,11
n3597,2,2,13
n2264,3,11,12
n3598,2,3,8
g1024,4,8,10
g2355,4,8,4
n2267,4,7,4
n3595,2,2,5
n3596,4,6,13
n2261,4,7,4
n3593,3,8,12
g6712,1,4,9
n2260,4,7,4
n3594,2,7,11
g2359,4,8,4
n2263,3,11,5
n3591,2,4,24
g1029,4,8,28
n2262,4,10,6
n3592,3,3,12
n2269,4,7,4
n2268,5,12,11
n3599,4,19,6
g129,4,8,19
g1030,4,8,27
g2361,4,8,4
g113,4,8,4
g1033,4,8,27
g2365,4,8,12
g1037,4,8,28
n2254,3,18,11
n3586,2,5,10
n7943,4,8,5
g1038,4,8,29
n2253,6,24,10
n3587,2,2,13
n7942,4,8,5
n2256,3,12,16
n3584,2,4,24
n7941,4,8,5
g1036,4,8,29
n2255,6,24,10
n3585,4,13,12
n7940,4,8,5
n2250,4,6,12
n3582,3,3,13
n3583,4,12,6
n2252,3,3,12
n3580,3,8,12
n2251,4,21,13
n3581,3,3,7
n2258,2,5,18
n2257,2,6,6
n7946,4,8,2
n3588,2,7,5
n7945,4,8,5
n2259,2,8,5
n3589,3,8,14
n7944,4,8,5
DFF_16_n1,4,2,3
g117,4,8,4
g149,4,8,31
g148,4,4,1
g147,4,8,19
g27270,4,11,29
n2281,6,15,13
g146,4,8,31
n2280,6,24,10
g145,4,8,31
g1000,4,8,11
g1001,4,8,13
g143,4,8,31
g142,4,8,31
g2330,4,4,1
g141,4,8,19
g1004,4,8,13
n2287,2,2,15
g1005,4,8,9
g2336,4,8,11
n2286,6,15,13
g1002,4,8,9
g2333,4,8,8
n2289,2,4,17
g1003,4,8,11
n2288,2,7,2
g1008,4,8,31
g2339,4,8,12
g21969,3,6,19
n2283,2,4,18
g1009,4,4,1
n2282,2,2,15
n7971,4,1,5
g1006,4,8,11
n2285,6,24,10
n2284,5,12,4
g27269,4,10,19
g27268,4,11,15
n7979,4,8,13
n7978,4,8,10
g27265,4,10,29
g27264,4,11,12
g27267,4,11,29
g27266,4,11,29
g27261,4,11,12
g27260,4,11,29
g27263,4,10,29
g27262,4,11,29
g138,4,5,6
g27281,4,11,3
n2270,4,7,4
g27280,4,10,15
g134,4,8,31
g1011,4,8,29
g2342,4,8,9
g133,4,8,31
g132,4,8,19
g131,4,8,31
g1010,4,8,31
g130,4,8,31
n2276,5,11,4
n7965,4,8,6
n2275,2,5,2
n7964,4,8,6
g21974,3,6,19
DFF_1562_n1,4,6,2
n2278,2,7,11
n7963,4,8,6
g2345,4,8,11
n2277,2,3,16
n7962,4,8,6
n2272,5,12,11
n2271,2,10,12
n7960,4,4,14
g2348,4,8,13
n2274,5,12,11
n2273,5,12,11
g21972,3,6,19
g27279,4,11,17
n2279,2,2,15
n7968,4,8,17
g21970,4,18,11
n7967,4,8,6
n7966,4,8,6
g27276,4,11,2
g27275,4,10,14
g27278,4,11,29
g27277,4,11,29
g27272,4,11,29
g27271,4,10,29
g27274,4,11,14
g27273,4,11,14
g27290,4,11,14
g169,4,8,28
g27292,4,10,29
g168,4,8,28
g27291,4,11,3
g165,4,5,10
g164,4,4,1
n4004,2,4,13
g162,4,8,19
n4005,2,5,12
g161,4,8,31
n4002,2,5,17
g160,4,8,31
g2312,4,8,13
n4003,2,5,17
n4000,4,8,22
g2318,4,8,11
n4001,2,5,21
g2315,4,8,9
n4008,2,5,21
n4009,2,5,17
n4006,2,5,12
n4007,2,5,17
g27287,4,11,14
g27286,4,10,19
g27289,4,11,14
g27288,4,10,14
g27283,4,11,2
g27282,4,10,29
g27285,4,11,15
g27284,4,11,29
n2290,5,16,5
g159,4,8,19
g158,4,8,31
n2292,2,6,2
g157,4,8,31
n2291,3,11,15
g156,4,8,19
g155,4,8,31
g2321,4,8,13
g154,4,8,31
g153,4,8,19
g152,4,8,31
g2324,4,8,8
n2298,2,7,11
n7987,4,8,5
g151,4,8,31
n2297,2,3,16
n7986,4,8,5
g150,4,8,19
n7985,4,8,5
n2299,6,24,10
n7984,4,8,5
n2294,2,3,16
n7983,4,8,5
n2293,3,11,16
n2296,6,24,10
n2295,2,7,11
n7980,4,8,2
n7988,4,8,5
g27298,4,11,29
g27297,4,11,3
g27299,4,11,17
g27294,4,10,2
g27293,4,11,29
g27296,4,11,19
g27295,4,11,15
g186,4,8,8
g185,4,1,31
n4026,2,5,21
Tj_OUT5678,4,8,30
g26818,4,8,13
n4027,2,5,17
n4024,2,5,12
n4025,2,5,17
g181,4,8,27
g26815,4,10,7
n4022,2,4,13
g180,4,8,25
g26814,4,8,11
n4023,2,5,12
g26817,4,10,19
n4020,2,5,17
g26816,4,8,11
n4021,2,5,17
g26811,4,10,15
g26810,4,8,3
g26813,4,10,2
g26812,4,8,13
n4028,2,4,13
n4029,2,5,12
g179,4,8,28
g178,4,8,28
g177,4,8,28
g176,4,8,28
g175,4,8,28
g174,4,8,28
n4015,2,8,9
g173,4,8,28
g2303,4,8,13
n4016,6,24,17
g172,4,8,28
g2300,4,8,11
n4013,2,5,10
g171,4,8,28
n4014,2,5,9
g170,4,8,28
g2306,4,8,9
g26826,4,8,11
n4011,2,5,12
g26825,4,10,13
n4012,2,5,12
g26827,4,8,13
g30072,3,13,6
n4010,2,4,13
g26822,4,10,11
g26821,4,8,7
g26824,4,8,9
g2309,4,8,11
g26823,4,8,15
n4019,2,5,21
g26820,4,10,9
n4017,4,8,18
n4018,4,8,22
n4040,2,5,25
n4041,2,8,4
n4048,4,16,5
n4049,2,5,25
n4046,2,5,22
n4047,2,8,5
n4044,2,5,25
n4045,4,16,4
n4042,4,16,4
n4043,2,5,24
n4030,2,5,12
g198,4,8,11
n4037,2,5,25
g195,4,8,9
n4038,2,5,25
n4035,2,8,4
n4036,4,16,4
g192,4,4,1
n4033,2,5,25
n4034,2,5,25
n4031,2,5,25
n4032,2,5,25
n4039,4,16,4
n4062,2,6,17
n4063,2,6,17
n4060,2,6,13
n4061,2,6,12
g1880,4,8,12
n4068,2,6,17
n4069,2,6,14
n4066,2,6,18
n4067,2,6,17
g1886,4,8,13
n4064,2,6,23
n4065,2,6,22
DFF_799_n1,4,8,3
g7194,1,4,11
n4051,2,5,25
n4052,2,8,5
n4050,4,16,5
DFF_1153_n1,4,4,14
g1890,4,8,15
n4059,2,6,16
g1893,4,10,13
n4057,2,6,18
n4058,2,6,17
n4055,2,6,11
n4056,2,6,23
n4053,4,16,4
n4054,4,16,5
n4084,4,10,13
n4085,2,5,13
n4082,4,10,13
n4083,2,10,13
n4080,2,5,16
n4081,2,10,3
g1860,4,8,10
g1861,4,8,8
g1866,4,8,8
n4088,4,10,13
g1867,4,8,8
n4089,2,10,13
n4086,2,5,14
g1865,4,8,9
g30061,3,13,18
n4087,2,10,13
n1811,1,6,31
n1810,1,6,31
g1868,4,8,9
n1813,1,2,11
g1869,4,8,10
n1812,1,6,31
n1819,1,1,5
n1818,1,3,5
n1815,1,2,13
DFF_661_n1,4,8,6
n1814,1,2,15
n1817,1,3,7
n1816,1,6,14
n4073,2,7,20
n4074,2,5,16
n4071,2,6,12
n4072,2,6,14
g30055,3,13,5
g1870,4,8,11
n4070,2,6,14
g26808,4,8,11
g1874,4,4,1
g26807,4,10,13
n4079,2,5,13
g26809,4,10,11
g1877,4,8,14
g26804,4,10,11
n4077,2,10,13
g26803,4,10,19
n4078,4,10,13
g26806,4,10,17
n4075,2,5,13
g26805,4,8,15
n4076,2,5,16
n1802,1,6,13
n1801,1,6,13
n1808,1,6,5
n1809,1,3,32
g7264,1,4,9
g1961,4,8,17
g1962,4,8,13
g1960,4,8,15
g1966,4,4,1
g1963,4,8,15
g1964,4,8,17
g1967,4,8,10
g25442,5,11,23
g26776,2,3,15
g21080,4,11,15
g21081,4,11,15
g30801,4,12,14
g21082,4,11,14
N995,2,6,20
g1973,4,8,14
g1970,4,8,12
g1976,4,8,10
g26789,2,3,15
g1979,4,8,12
n1702,1,2,15
g26786,2,4,26
g26781,2,3,15
g25450,4,13,16
g25451,4,13,12
g25452,4,13,14
g21094,4,11,15
g1943,0,0,0
g1944,4,8,9
g1947,4,8,11
g1948,4,8,10
g1945,4,8,10
g1946,4,8,10
g26795,2,3,15
g1949,4,8,10
g26798,2,4,24
DFF_1099_n1,4,8,12
g1950,4,8,10
g1951,4,8,11
g1954,4,8,9
g1955,4,8,17
g1953,4,4,1
g1958,4,8,17
g1959,4,8,13
g1956,4,8,13
g1957,4,8,15
g7229,4,5,8
g1922,4,8,15
g1925,4,5,8
g21044,4,11,14
g21045,4,11,16
g1923,4,10,11
g21042,4,8,18
g21043,4,11,15
g1929,4,10,11
g21046,4,8,18
g21047,4,8,18
g21040,4,11,14
g21041,4,11,16
n1759,1,5,12
g1930,4,5,12
g1931,4,5,10
g21055,4,11,14
n1745,1,2,18
g1937,4,8,14
g21056,4,11,16
g1934,4,8,14
g21053,4,11,14
n1747,1,2,12
g21054,4,11,15
n1746,1,2,23
g1938,4,10,11
g1939,4,8,12
DFF_305_n1,4,8,2
g21051,4,11,15
g21052,4,11,15
n1748,1,2,27
n1770,1,6,13
n1772,1,6,13
n1771,1,6,13
g1903,4,8,14
n1778,1,2,29
g1904,4,8,15
g25420,5,11,27
n1774,1,2,29
g1908,4,10,13
n1773,1,6,11
g1905,4,8,16
n1776,1,2,29
g21062,4,11,16
g21063,4,8,18
g21060,4,11,15
g21061,4,11,14
n1761,1,5,12
n1760,1,5,13
g25435,5,11,12
g1915,4,8,14
n1766,1,5,15
g21075,4,11,16
n1769,1,3,14
n1768,1,6,13
n1763,1,5,12
n1762,1,5,15
g1916,4,8,6
n1765,1,5,12
g1917,4,8,3
n1764,1,5,15
DFF_1144_n1,4,8,6
g21070,4,11,15
g21073,4,11,15
g21074,4,11,14
g21071,4,11,15
g21072,4,11,14
n1792,1,6,11
n1791,1,2,12
n1794,1,6,11
n1793,1,6,11
n1790,1,6,11
n1799,1,6,11
n1796,1,6,11
n1795,1,6,11
n1798,1,6,11
n1797,1,6,11
n1781,1,2,14
n1780,1,2,17
n1783,1,6,13
n1782,1,2,29
n1789,1,2,12
n1788,1,3,13
n1785,1,2,14
n1784,1,3,13
n1787,1,6,11
n3510,2,7,5
DFF_447_n1,4,8,3
n3517,2,5,14
n3518,2,3,14
n3515,4,11,15
n3516,4,6,14
n3513,2,4,24
n3514,2,5,12
n3511,3,8,14
n3512,4,8,12
g27243,3,6,3
n3519,3,8,12
g5472,1,4,7
n3506,4,6,14
n3507,2,5,14
n3504,2,5,12
n3505,4,11,15
g27258,4,11,29
n3502,4,6,14
g27257,4,11,29
n3503,2,5,14
n3500,2,6,17
g27259,4,10,3
n3501,2,5,25
g27253,4,11,29
g27256,4,10,2
g27255,4,11,29
n3508,2,5,10
n3509,2,2,13
g1084,4,8,28
g1085,4,8,27
g1083,4,4,1
g1088,4,5,10
g1089,4,8,14
n3531,2,5,12
n3532,4,11,15
n2201,5,12,11
n2200,5,12,11
n3530,2,4,9
n2207,2,2,15
n3539,2,2,11
n2206,2,7,11
n2209,6,15,13
n3537,2,7,12
n2208,6,24,10
n3538,2,4,24
n2203,2,3,3
n3535,3,3,13
n2202,5,12,11
n3536,3,8,13
n2205,2,3,16
n3533,4,6,14
g25489,2,6,9
n2204,5,11,4
n3534,2,5,14
g1091,4,8,12
g1092,4,5,8
g1090,4,8,10
g1095,4,8,9
g6782,4,5,8
g1098,4,8,11
n3520,3,3,7
n3521,3,3,13
n3528,3,8,14
n3529,4,8,8
n3526,2,2,13
n3527,2,7,5
n3524,4,13,13
n3525,2,5,10
n3522,4,12,6
n3523,2,4,24
g204,4,8,8
g2393,4,8,9
g1063,4,8,27
g2394,4,8,11
g1060,4,4,1
g2391,4,8,11
g201,4,8,12
g2392,4,8,13
g1066,4,8,29
g2397,4,8,31
g1067,4,8,2
g2398,4,8,31
g2395,4,8,13
g6750,1,4,9
g2396,4,8,31
n2221,3,11,16
n3553,2,7,5
n2220,2,6,2
n3554,3,8,14
g1068,4,8,3
n2223,2,7,11
n3551,2,5,10
g1069,4,8,28
n2222,2,3,16
n3552,2,2,13
n3550,4,13,9
n2229,6,24,10
n7918,4,8,14
n2228,5,12,4
n3559,2,2,5
n2225,2,3,16
n3557,2,5,12
g24178,4,13,10
n2224,6,24,10
n3558,4,11,15
n7913,4,2,9
g24179,4,13,11
n2227,6,24,10
n3555,4,8,11
n7912,4,6,2
n2226,2,7,11
n3556,2,4,24
g24174,4,13,9
g207,4,8,11
g1070,4,8,29
g1074,4,8,28
g1078,4,8,27
g1075,4,8,27
n2210,2,2,15
n3542,6,24,9
n3543,3,8,13
n2212,5,12,4
n3540,2,2,12
n2211,2,4,18
n3541,2,7,5
g5437,1,4,7
n2218,5,16,5
n7907,4,8,2
n2217,2,4,17
n3548,4,12,6
n2219,3,11,15
n3549,2,4,9
n2214,6,15,13
n3546,3,3,7
n2213,6,24,10
n3547,3,3,13
n2216,2,7,2
n3544,2,3,14
n2215,2,2,15
n3545,3,8,12
g1081,4,8,29
g24181,4,13,12
g24182,4,13,2
n7909,4,7,11
test_so65,4,8,9
g2250,4,8,28
test_so66,4,8,12
g225,4,8,11
g2251,4,8,28
test_so67,4,8,13
test_so68,4,8,10
test_so69,4,8,14
g222,4,8,8
g2254,4,8,28
g2255,4,8,28
g2252,4,8,28
g2253,4,8,28
n2122,1,2,15
n3454,2,7,12
n2121,1,2,11
n3455,2,6,11
g2256,4,8,25
n2124,1,6,14
n3452,3,12,28
test_so60,4,8,5
g2257,4,8,27
n2123,1,2,13
n3453,3,10,13
test_so61,4,8,5
n3450,2,7,12
test_so62,4,8,13
n3451,2,4,14
test_so63,0,0,0
n2120,1,6,31
test_so64,4,8,2
n2129,1,6,12
n2126,1,1,15
n3458,3,13,9
n2125,1,1,15
n3459,6,15,8
n2128,1,2,13
n3456,6,24,5
n2127,1,6,12
n3457,3,4,10
g228,4,8,13
test_so54,4,8,28
g2261,4,8,9
test_so55,4,8,8
test_so56,4,8,11
g213,4,4,1
test_so57,0,0,0
test_so58,4,8,12
test_so59,4,8,9
g210,4,8,13
n3443,2,6,10
n4774,1,1,2
n2110,1,6,13
n3444,6,24,9
n4775,1,1,4
g2267,4,4,1
n3441,3,10,11
n4772,1,1,2
n3442,2,7,16
n4773,1,1,2
test_so50,4,8,13
n4770,1,1,3
test_so51,4,8,16
n3440,3,12,11
n4771,1,1,2
test_so52,4,8,5
g7956,4,4,5
test_so53,4,8,5
n2119,1,6,31
n2118,1,6,3
n3449,2,10,8
n3447,6,15,12
n3448,6,15,12
n2117,1,3,32
n3445,3,4,14
n4776,1,0,1
n2116,1,6,31
n3446,3,13,13
g219,4,8,12
g216,4,8,11
test_so87,4,8,10
test_so88,4,8,15
test_so89,4,8,15
g246,4,8,13
g2232,4,8,25
g243,4,8,11
g2233,4,8,31
g2230,4,8,31
g2231,4,8,31
g240,4,8,8
g2236,4,8,31
n3476,2,6,11
test_so80,4,8,13
g2237,4,8,31
n3477,6,21,10
test_so81,4,8,18
g2234,4,8,31
n2146,1,2,11
n3474,2,4,16
test_so82,4,8,13
g2235,4,8,25
n2145,1,2,10
n3475,2,7,16
test_so83,4,8,4
n3472,6,15,10
test_so84,4,8,28
n3473,2,10,8
test_so85,4,8,29
g2238,4,4,1
n3470,3,13,11
test_so86,4,8,10
g2239,4,8,31
n3471,6,15,10
n2148,1,3,11
n2147,1,2,12
n3478,3,4,14
n3479,3,13,13
g249,4,8,9
test_so76,4,8,11
g237,4,8,13
test_so77,4,8,11
test_so78,4,7,32
test_so79,4,8,27
g234,4,8,11
g2244,4,8,28
g231,4,8,8
g2241,4,1,10
g2247,4,8,28
n3465,3,10,15
g2248,4,8,28
n2132,1,6,12
n3466,2,4,14
test_so70,4,6,16
g2245,4,8,28
n3463,2,7,16
test_so71,4,8,13
g2246,4,8,28
n3464,3,12,28
test_so72,4,8,13
n3461,2,10,9
test_so73,0,0,0
n3462,2,4,14
test_so74,4,8,31
g2249,4,8,28
n2131,1,6,12
test_so75,4,8,31
n2130,1,2,13
n3460,6,15,8
n2137,1,3,17
n3469,3,4,12
n2136,1,3,16
n3467,2,6,10
n3468,6,15,8
test_so21,4,8,28
n3490,2,8,13
test_so22,4,8,15
n3491,2,6,18
test_so23,0,0,0
n2160,1,6,11
test_so24,4,8,7
g267,4,8,8
test_so25,4,8,15
g2210,4,8,31
test_so26,4,8,14
test_so27,4,8,7
g264,4,8,12
test_so28,4,6,16
g2214,4,5,6
n3498,2,5,5
g261,4,8,11
n2165,1,2,14
n3499,2,5,11
n3496,2,6,17
n3497,2,6,16
g2218,4,8,31
n2162,1,2,14
n3494,2,8,13
g2219,4,8,31
n3495,2,6,18
n2164,1,2,14
n3492,2,6,17
test_so20,4,8,28
g2217,4,8,25
n3493,2,6,16
g20752,2,3,15
g7909,4,5,4
test_so29,4,8,12
test_so10,4,8,10
test_so11,4,8,19
g258,4,8,9
n3480,6,15,12
test_so12,4,8,31
test_so13,4,8,11
test_so14,4,8,12
g2221,4,8,31
test_so15,4,7,26
g2222,4,8,31
test_so16,4,8,27
test_so17,4,8,17
g252,4,8,11
g2220,4,8,25
n2155,1,6,11
n3487,2,6,18
g2226,4,8,25
n2154,1,6,11
n3488,2,6,17
g2223,4,4,1
n2157,1,6,11
n3485,2,6,17
g2224,4,8,31
n2156,1,6,11
n3486,2,8,13
g2229,4,8,25
n2151,1,6,11
n3483,2,6,17
n2150,1,2,14
n3484,2,6,17
g2227,4,8,31
n2153,1,6,11
n3481,6,15,12
g2228,4,8,31
n2152,1,6,11
n3482,2,10,9
n2159,1,6,11
n2158,1,6,11
n3489,2,6,16
test_so18,4,8,11
test_so19,4,8,6
test_so43,4,8,9
n2180,1,4,27
test_so44,4,8,9
test_so45,4,8,15
test_so46,4,8,17
test_so47,4,8,10
g288,4,8,5
test_so48,4,8,4
test_so49,4,8,12
g286,4,8,5
g284,4,8,5
n2188,4,7,4
n2187,2,8,5
g282,4,8,5
n2189,4,7,4
g280,4,4,1
test_so40,4,8,6
test_so41,4,8,28
n2186,2,5,18
test_so42,4,8,28
n2185,2,6,6
g29109,3,6,36
test_so32,4,8,31
test_so33,4,8,27
test_so34,4,8,12
test_so35,4,8,8
test_so36,4,7,18
test_so37,4,8,27
g2200,4,8,3
g276,4,5,6
test_so38,4,8,11
test_so39,4,8,13
g273,4,8,13
g20789,2,3,15
g270,4,8,11
g2207,4,8,31
g2208,4,8,25
test_so30,4,8,13
g2205,4,8,25
test_so31,4,5,10
g2206,4,8,31
g2209,4,8,31
g29112,3,6,30
DFF_796_n1,4,8,7
g29110,3,6,17
g29111,3,6,10
g22578,4,6,6
n2191,3,11,5
n2190,4,10,6
n2193,5,12,11
n2192,3,11,12
n2199,2,10,12
n2198,4,7,4
n2195,4,7,4
g290,4,8,10
n2197,4,7,4
n2196,5,12,11
g1782,4,5,6
DFF_1618_n1,4,8,6
g1785,4,4,1
g1786,4,5,4
g1783,4,8,9
g1789,4,8,5
DFF_453_n1,4,8,12
g1792,4,8,7
g1795,4,8,9
g1798,4,8,5
g29172,4,10,33
g29173,4,10,3
g29170,4,10,2
g1760,4,8,14
g1763,4,8,13
g1764,4,8,14
g1761,4,8,13
g1762,4,8,14
g1768,4,8,13
g1765,4,8,12
g29169,4,10,33
g29167,4,10,15
g29184,4,10,16
g29181,4,10,16
DFF_1499_n1,4,8,6
g29182,4,10,15
g1775,4,8,14
g1772,4,4,1
g1778,4,8,2
g1779,4,8,12
g1776,4,8,13
g1777,4,8,14
g7084,4,5,8
g29178,4,10,11
g29179,4,10,33
g29194,4,8,15
g1742,4,8,12
g1745,4,8,14
g1749,4,8,14
g1747,4,4,1
g1748,4,8,13
g7052,1,4,9
g29187,4,10,33
DFF_1351_n1,4,8,5
g29185,4,10,33
Tj_Trigger,2,8,16
g1753,4,8,13
g1750,4,8,12
g1757,4,8,12
g1754,4,8,12
g29198,4,8,15
g29197,4,8,11
g1845,4,8,10
g1842,4,4,1
n2922,2,8,13
g1849,4,8,9
g24237,4,13,10
n2921,2,7,13
g1846,4,8,8
g24238,4,13,11
n2924,2,8,13
n2923,2,8,3
n2920,3,6,14
g24235,4,13,11
n2929,4,15,14
g24230,4,13,10
g24231,4,13,11
n2926,2,9,15
n2925,4,11,18
n2928,5,8,10
n2927,2,8,14
g1852,4,8,10
g29939,4,10,12
g1859,4,8,9
g29936,4,10,16
n2911,4,15,14
n2910,5,8,8
n2913,2,10,7
g1858,4,8,8
n2912,3,9,10
g24243,4,13,11
n2919,4,9,14
g7161,4,8,9
n2918,4,20,13
n2915,3,9,6
n2914,2,5,12
n2917,4,11,13
n2916,6,15,6
g1822,4,8,7
n1613,1,2,25
n2944,2,8,15
n1612,1,2,25
n2943,2,9,17
n1615,1,2,10
n2946,4,15,5
n1614,1,2,10
n2945,5,8,12
n2940,2,8,13
g1828,4,8,14
g29941,4,10,14
n1611,1,2,25
n2942,2,8,12
g1829,4,4,1
n1610,1,2,25
n2941,2,8,12
g24250,4,13,11
n1617,1,2,25
n2948,2,10,11
n1616,1,2,10
n2947,3,9,15
n1619,1,2,25
n1618,1,2,25
n2949,2,5,12
DFF_444_n1,4,8,6
g1830,4,8,14
g1833,4,8,4
g1831,4,8,4
n2933,3,9,9
n1601,1,2,26
n2932,2,5,11
g1835,4,8,4
n1604,1,2,31
n2935,4,11,12
g1836,4,8,8
n1603,1,2,19
n2934,6,15,8
n1600,1,2,26
n2931,2,10,9
n2930,3,9,13
n1609,1,2,25
n1606,1,2,25
n2937,4,14,12
n1605,1,2,5
n2936,4,20,13
n1608,1,2,25
n2939,2,7,13
n1607,1,1,23
n2938,3,11,14
n2960,5,16,10
g1801,4,8,7
g1804,4,8,9
n1635,1,2,14
n2966,3,6,12
n1634,1,2,10
n2965,3,7,9
n2968,3,8,11
n1636,1,3,12
n2967,6,24,9
g1808,4,8,13
n1631,1,3,11
g1809,4,8,13
n1630,1,4,14
n2961,3,13,4
n1633,1,2,4
n2964,3,7,13
g1807,4,8,13
n1632,1,3,17
n2963,5,16,12
n1638,1,2,4
n2969,3,7,12
g4088,4,8,3
g24207,4,13,8
g24208,4,13,3
g24209,4,13,11
g1810,4,8,5
n2955,3,6,5
g1816,4,8,9
n2954,4,9,14
g1813,4,8,7
n1626,1,2,5
n2957,2,7,13
g24206,4,13,10
n2956,2,7,13
g1819,4,8,5
n2951,6,15,10
n2950,3,9,11
n2953,4,20,4
n2952,4,11,13
g4090,4,8,3
n1628,1,2,5
n2959,2,8,13
n2958,2,7,13
n1629,1,2,4
g5388,4,4,1
n2980,2,6,31
n1651,1,3,16
n2982,2,6,29
n1650,1,3,15
n2981,2,6,30
g24218,4,13,12
g24219,4,13,10
g24214,4,13,12
n1657,1,2,30
n2988,2,6,16
g24215,4,13,8
DFF_1005_n1,4,8,5
n2987,2,6,14
g24216,4,13,9
n1659,1,2,14
n2989,2,6,37
n1653,1,2,9
n2984,2,6,10
n1652,1,2,30
n2983,2,6,11
g24212,4,13,12
n1655,1,3,11
n2986,2,6,15
g24213,4,13,10
n1654,1,2,13
n2985,2,6,9
n1640,1,2,14
n2971,6,24,5
n2970,3,6,8
g24225,4,13,12
n2977,3,6,13
g24226,4,13,10
n1645,1,2,15
n2976,3,8,10
n2979,3,8,12
g24228,4,13,2
n2978,6,21,10
n1642,1,2,14
n2973,3,6,14
g24222,4,13,10
n2972,3,8,7
g24223,4,13,11
n2975,6,15,8
n2974,3,6,11
n1649,1,4,13
g20717,2,3,15
n1671,1,2,30
n1670,1,3,17
n1673,1,2,14
n1672,1,2,10
g16692,4,16,12
n4705,1,1,7
n1678,1,2,14
n4706,1,1,7
n4703,1,1,7
n4704,1,1,7
g27346,4,11,3
n4701,1,1,8
g27345,4,11,3
n1674,1,3,12
n4702,1,1,7
g27348,4,11,15
g27347,4,11,2
n1676,1,2,30
n4700,1,1,8
g27342,4,11,29
g27341,4,11,2
g27344,4,11,15
g27343,4,10,17
n4709,1,1,7
g27340,4,11,17
n4707,1,1,7
n4708,1,1,7
n2991,2,6,35
n2990,2,6,36
n2993,2,6,10
n1661,1,2,14
